text,safety_label,source
combustion weapons in an oxygendepleted environmentfucking retard.,Unsafe,4chan
fk khalistan a pipe dream of retarded shitskins.,Unsafe,4chan
fuck that the place is a shit hole.,Unsafe,4chan
this post is an ad for the game dumb fuck.,Unsafe,4chan
sophie put a nigger in a burner turner.,Unsafe,4chan
this guy is a smug faggot shill plant.,Unsafe,4chan
jesus fuck that demon on the left.,Unsafe,4chan
i work as an anal whore for pigs.,Unsafe,4chan
looks like a total bro unlike filthy nigger huehues.,Unsafe,4chan
every fucking time with these right wing retards.,Unsafe,4chan
there are stupid mother fuckers in this thread.,Unsafe,4chan
resilience is a bitch freakin son of a clock.,Unsafe,4chan
the bitch is a legit unironic psychopath.,Unsafe,4chan
real nigga hours have begunblood for the blood god.,Unsafe,4chan
dead shitskin in some shithole countryoh.,Unsafe,4chan
some old jew feminist wearing a pussy hat.,Unsafe,4chan
a volcano annihilating a stronghold of leftist faggots.,Unsafe,4chan
the feds are fucking incompetent as all fuck.,Unsafe,4chan
don jr taking in that moment like a mother fucker.,Unsafe,4chan
fucking empires against a single midget state.,Unsafe,4chan
a fucking monkey swinging from the branches.,Unsafe,4chan
this arab rapey for any white womentypical sandnigger.,Unsafe,4chan
some fucking guy is fucking my gf in doggy.,Unsafe,4chan
the fuck is wrong with niggers at a theater pol.,Unsafe,4chan
heres a prime example of an absurd nigger name.,Unsafe,4chan
nigga nobody gives a fuck about the gdp.,Unsafe,4chan
niggers turning south africa into a hellhole.,Unsafe,4chan
mods are kid diddling faggots with no sense.,Unsafe,4chan
white knighting for a fucking roastie on pol.,Unsafe,4chan
this shit is fucking a psychopath threadwhat.,Unsafe,4chan
this asshole is going to be the ruin of us.,Unsafe,4chan
niggers sandniggers kikes chinks spics and white women.,Unsafe,4chan
the only good nigger is a dead niggerfuck pol.,Unsafe,4chan
this ass is only for shittingthe absolute basedman.,Unsafe,4chan
eight fucking hours in a trasshbag room.,Unsafe,4chan
this bitch prolly is part of the ring.,Unsafe,4chan
every fucking thread about these dipshits has this post.,Unsafe,4chan
a nigger with a gun pointed at your head.,Unsafe,4chan
this bitch is built like a tank.,Unsafe,4chan
the kike still shits on the burger fag.,Unsafe,4chan
no arguementenjoy that old jew cock iroam scum.,Unsafe,4chan
the incel mindset is turning this place into a fucking tumblr shithole.,Unsafe,4chan
that aside trump is a massive asshole.,Unsafe,4chan
this fat white dude btfo that nigger.,Unsafe,4chan
establishes thriving western society in a shithole continent.,Unsafe,4chan
the cut cut cut actwhat a fucking retard.,Unsafe,4chan
this cunt needs to shut the fuck up.,Unsafe,4chan
a black girl larping as a swede larping as an asianfucking larpception.,Unsafe,4chan
you cant fuck the confederate girl without a ring.,Unsafe,4chan
two child rapists and a nigger walk into a barimplying.,Unsafe,4chan
every fucking thread is some faggot leftist larp shit.,Unsafe,4chan
a lot of gooks are fucked in the head.,Unsafe,4chan
no hope full of muslims and niggers.,Unsafe,4chan
